Noun,Denominal(s),Non-denominal(s),Other(s)
מחשב,למחשב,לחשב להתחשב,לחשוב להחשיב להיחשב
תחזוקה,לתחזק,לחזק להתחזק,להחזיק
מחזור,למחזר,לחזר להתחזר,לחזור להחזיר
חשבון,להתחשבן,לחשב להתחשב,לחשוב להחשיב להיחשב
תקשורת,לתקשר,לקשר להתקשר,לקשור להיקשר
תפקידים,לתפקד,לפקד להתפקד,לפקוד להפקיד להיפקד
תרגילים,לתרגל,לרגל להתרגל,להרגיל
פלצן,להתפלצן,להתפלץ,להפליץ
תזמורת,לתזמר,לזמר,
תזמון,לתזמן,לזמן להזדמן,להזמין
סקרנים,לסקרן להסתקרן,לסקר,לסקור להיסקר
תקציר,לתקצר,לקצר,לקצור להתקצר להיקצר
מלכודת,למלכד,ללכד להתלכד,ללכוד להילכד
אבטחה,לאבטח,לבטח,לבטוח להבטיח
קמצן,להתקמצן,לקמץ,
שלהבת,לשלהב להשתלהב,להתלהב,להלהיב
עצבני,לעצבן להתעצבן,לעצב להתעצב,להעציב להיעצב
מרכז,למרכז להתמרכז,לרכז להתרכז,
תסביך,לתסבך,לסבך להסתבך,
מסגרת,למסגר,להסתגר,לסגור להסגיר להיסגר
אכזבות,לאכזב להתאכזב,לכזב,להכזיב
מסחר,להתמסחר,,לסחור להיסחר
תעתיקים,לתעתק,,להעתיק
תדריכים,לתדרך,,לדרוך להדריך להידרך
תמריצים,לתמרץ,,להמריץ
תקציבים,לתקצב,,לקצוב להקציב להיקצב
תצפית,לתצפת,,לצפות
אבחנות,לאבחן,,לבחון להבחין להיבחן
תחקיר,לתחקר,,לחקור להיחקר
תסריטים,לתסרט,,להסריט
תקליטים,לתקלט,,לקלוט להקליט להיקלט
אזכרות,לאזכר,,לזכור להזכיר להיזכר
מספר,למספר,לספר להסתפר,לספור להיספר
טרחנים,לטרחן,,לטרוח להטריח
מרפק,למרפק,להתרפק,
מסמר,למסמר,לסמר,לסמור
אזרחים,לאזרח להתאזרח,,לזרוח
אגרופים,להתאגרף,,לגרוף להיגרף
מסכן,למסכן להתמסכן,לסכן להסתכן,
תגמולים,לתגמל,להיגמל,לגמול להיגמל
חרבון,לחרבן להתחרבן,לחרב להתחרב,להחריב להיחרב
צלחות,לצלחת,,לצלוח להצליח
משכון,למשכן,לשכן להשתכן,לשכון להשכין
תגבורת,לתגבר,להתגבר,לגבור להגביר
מסמך,למסמך,להסתמך,לסמוך להסמיך
תאריכים,לתארך,להתארך,לארוך להאריך
תכסיס,לתכסס,,לכסוס
מזרח,להתמזרח,,לזרוח להזריח
מערב,להתמערב,לערב להתערב,לערוב
מקצוע,למקצע להתמקצע,,לקצוע
תזכורת,לתזכר,,לזכור להזכיר להיזכר
מגדרים,למגדר,לגדר,להגדיר
פרשנים,לפרשן להתפרשן,לפרש להתפרש,לפרוש להפריש
קורבן,להתקרבן,להתקרב,להקריב
חמצן,לחמצן להתחמצן,,להחמיץ להיחמץ
